precision_threshold,mrfh,hit_cases,hit_rate_pct,threshold_type,method,task,hit_rate_base,mrfh_base,baseline_threshold,hit_rate_drop_pp,mrfh_drop
0.15,0.0451,4,8.3,precision,slide_seek,CAMELYON16_detection,8.3,0.0451,0.05,0.0,0.0
0.2,0.0243,3,6.2,precision,slide_seek,CAMELYON16_detection,8.3,0.0451,0.05,2.1000000000000005,0.020800000000000003
0.25,0.0243,3,6.2,precision,slide_seek,CAMELYON16_detection,8.3,0.0451,0.05,2.1000000000000005,0.020800000000000003
0.3,0.0243,3,6.2,precision,slide_seek,CAMELYON16_detection,8.3,0.0451,0.05,2.1000000000000005,0.020800000000000003
0.35,0.0243,3,6.2,precision,slide_seek,CAMELYON16_detection,8.3,0.0451,0.05,2.1000000000000005,0.020800000000000003
0.4,0.0243,3,6.2,precision,slide_seek,CAMELYON16_detection,8.3,0.0451,0.05,2.1000000000000005,0.020800000000000003
0.45,0.0174,2,4.2,precision,slide_seek,CAMELYON16_detection,8.3,0.0451,0.05,4.1000000000000005,0.027700000000000002
0.5,0.0174,2,4.2,precision,slide_seek,CAMELYON16_detection,8.3,0.0451,0.05,4.1000000000000005,0.027700000000000002
0.55,0.0174,2,4.2,precision,slide_seek,CAMELYON16_detection,8.3,0.0451,0.05,4.1000000000000005,0.027700000000000002
0.6,0.0174,2,4.2,precision,slide_seek,CAMELYON16_detection,8.3,0.0451,0.05,4.1000000000000005,0.027700000000000002
0.65,0.0174,2,4.2,precision,slide_seek,CAMELYON16_detection,8.3,0.0451,0.05,4.1000000000000005,0.027700000000000002
0.7,0.0174,2,4.2,precision,slide_seek,CAMELYON16_detection,8.3,0.0451,0.05,4.1000000000000005,0.027700000000000002
0.75,0.0174,2,4.2,precision,slide_seek,CAMELYON16_detection,8.3,0.0451,0.05,4.1000000000000005,0.027700000000000002
0.8,0.0174,2,4.2,precision,slide_seek,CAMELYON16_detection,8.3,0.0451,0.05,4.1000000000000005,0.027700000000000002
0.85,0.0174,2,4.2,precision,slide_seek,CAMELYON16_detection,8.3,0.0451,0.05,4.1000000000000005,0.027700000000000002
0.9,0.0174,2,4.2,precision,slide_seek,CAMELYON16_detection,8.3,0.0451,0.05,4.1000000000000005,0.027700000000000002
0.95,0.0174,2,4.2,precision,slide_seek,CAMELYON16_detection,8.3,0.0451,0.05,4.1000000000000005,0.027700000000000002
1.0,0.0,0,0.0,precision,slide_seek,CAMELYON16_detection,8.3,0.0451,0.05,8.3,0.0451
0.0,0.7164,81,87.1,precision,CPathAgent,TCGA_BRCA_subtype,84.9,0.6916,0.05,-2.1999999999999886,-0.024800000000000044
0.05,0.6916,79,84.9,precision,CPathAgent,TCGA_BRCA_subtype,84.9,0.6916,0.05,0.0,0.0
0.1,0.6638,79,84.9,precision,CPathAgent,TCGA_BRCA_subtype,84.9,0.6916,0.05,0.0,0.027800000000000047
0.15,0.643,78,83.9,precision,CPathAgent,TCGA_BRCA_subtype,84.9,0.6916,0.05,1.0,0.04859999999999998
