case,roi_rows,max_precision,mean_precision,max_recall,mean_recall,max_iou,mean_iou,any_hit,agg_precision,agg_recall,agg_iou,method,task,roi_source,correct,has_matching_correct
test_092,27,0.0711,0.002633333333333333,0.8506,0.03150370370370371,0.0703,0.0026037037037037036,1,0.0022,0.8506,0.0022,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_094,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_097,16,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_099,21,0.1051,0.005004761904761905,0.798,0.038,0.1024,0.004876190476190477,1,0.0086,0.798,0.0086,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_102,108,0.2732,0.004056481481481481,0.334,0.006691666666666667,0.1769,0.0027925925925925926,1,0.0035,0.6563,0.0035,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_104,23,0.6957,0.0815304347826087,0.2249,0.02490869565217391,0.1672,0.019456521739130435,1,0.058,0.3869,0.0531,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_105,12,1.0,0.4826333333333333,0.0493,0.017208333333333332,0.0492,0.01705833333333333,1,0.4663,0.2001,0.1628,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_108,12,0.1252,0.0138,1.0,0.147875,0.1208,0.013433333333333334,1,0.0101,1.0,0.0101,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_110,7,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_113,15,1.0,0.21984666666666666,0.0437,0.010706666666666666,0.0437,0.01052,1,0.1427,0.1607,0.0817,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_116,6,0.0758,0.0273,0.1357,0.03456666666666667,0.0511,0.014499999999999999,0,0.0252,0.1788,0.0226,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_117,9,0.0031,0.0003444444444444444,1.0,0.1111111111111111,0.0031,0.0003444444444444444,1,0.0006,1.0,0.0006,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_121,7,0.0238,0.006742857142857143,0.1065,0.030199999999999998,0.0198,0.005614285714285715,1,0.0097,0.2113,0.0094,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_122,10,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,CPathAgent,CAMELYON16_detection,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_001,29,0.4862,0.0185448275862069,0.0185,0.000706896551724138,0.0181,0.0006896551724137932,1,0.0185,0.0204,0.0098,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_002,32,0.9432,0.029475,0.0003,9.375e-06,0.0003,9.375e-06,1,0.0589,0.0003,0.0003,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_004,34,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_008,68,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_010,28,0.006,0.00033214285714285713,0.031,0.0017214285714285715,0.005,0.0002785714285714286,1,0.0003,0.0482,0.0003,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_011,60,0.0852,0.00142,0.0852,0.00142,0.0445,0.0007416666666666666,1,0.0029,0.0852,0.0028,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_013,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_016,40,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_021,29,1.0,0.26746896551724136,0.0042,0.0011275862068965516,0.0042,0.0011241379310344827,0,0.268,0.0328,0.0301,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_026,39,1.0,0.046474358974358976,0.0597,0.0027717948717948717,0.0597,0.002743589743589744,1,0.0465,0.1082,0.0336,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_027,25,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_029,8,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_030,16,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_033,83,0.0366,0.0006373493975903614,0.0257,0.00044698795180722893,0.0153,0.0002650602409638554,1,0.0006,0.0371,0.0006,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_038,11,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,,False
test_040,36,0.051,0.0014166666666666666,0.0025,6.944444444444444e-05,0.0024,6.666666666666666e-05,1,0.0025,0.0025,0.0013,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_046,9,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_048,38,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_051,22,0.9394,0.05432272727272727,0.0998,0.005768181818181819,0.0992,0.00565,1,0.1108,0.1251,0.0624,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_052,17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_061,27,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_064,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_065,20,0.0534,0.00267,0.2094,0.01047,0.0444,0.00222,1,0.0067,0.2094,0.0065,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_066,42,0.1428,0.009333333333333334,0.0043,0.00028095238095238097,0.0042,0.00027619047619047615,0,0.0093,0.0059,0.0036,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_068,64,0.8287,0.018890625,0.0685,0.0015625,0.0676,0.0015156249999999998,1,0.026,0.0687,0.0192,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_069,97,1.0,0.040521649484536085,0.0151,0.0006123711340206186,0.0151,0.0006123711340206186,1,0.0406,0.0594,0.0247,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_071,96,0.439,0.011128125,0.0146,0.0003708333333333333,0.0144,0.00036458333333333335,1,0.0189,0.0151,0.0085,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_073,32,1.0,0.056184374999999995,0.009,0.00050625,0.009,0.00050625,0,0.0562,0.0161,0.0127,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_074,24,0.0146,0.0006083333333333333,0.0382,0.0015916666666666666,0.0107,0.0004458333333333333,1,0.0006,0.0382,0.0006,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_075,18,1.0,0.3333333333333333,0.0282,0.009399999999999999,0.0282,0.009399999999999999,1,0.3333,0.0846,0.0724,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_079,23,0.9904,0.047865217391304345,0.0438,0.0021130434782608695,0.0438,0.0021086956521739132,1,0.0479,0.0487,0.0247,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_082,24,1.0,0.08333333333333333,0.0124,0.0010333333333333334,0.0124,0.0010333333333333334,1,0.0833,0.0248,0.0195,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_084,28,0.079,0.004982142857142858,0.1236,0.007796428571428571,0.0506,0.0031750000000000003,1,0.01,0.2182,0.0096,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_090,35,0.4535,0.03358285714285714,0.004,0.0003,0.004,0.00029428571428571427,0,0.0336,0.0103,0.008,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_092,47,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_094,28,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_097,23,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_099,34,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,PathAgent,CAMELYON16_detection,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
