precision_threshold,mrfh,hit_cases,hit_rate_pct,threshold_type,method,task
0.35,0.5579,525,75.9,precision,CPathAgent,TCGA_LUNG_Classification
0.4,0.531,511,73.8,precision,CPathAgent,TCGA_LUNG_Classification
0.45,0.5049,498,72.0,precision,CPathAgent,TCGA_LUNG_Classification
0.5,0.4752,485,70.1,precision,CPathAgent,TCGA_LUNG_Classification
0.55,0.4514,473,68.4,precision,CPathAgent,TCGA_LUNG_Classification
0.6,0.4357,456,65.9,precision,CPathAgent,TCGA_LUNG_Classification
0.65,0.409,440,63.6,precision,CPathAgent,TCGA_LUNG_Classification
0.7,0.3866,429,62.0,precision,CPathAgent,TCGA_LUNG_Classification
0.75,0.3673,415,60.0,precision,CPathAgent,TCGA_LUNG_Classification
0.8,0.3413,389,56.2,precision,CPathAgent,TCGA_LUNG_Classification
0.85,0.3161,371,53.6,precision,CPathAgent,TCGA_LUNG_Classification
0.9,0.2994,349,50.4,precision,CPathAgent,TCGA_LUNG_Classification
0.95,0.2677,317,45.8,precision,CPathAgent,TCGA_LUNG_Classification
1.0,0.0,0,0.0,precision,CPathAgent,TCGA_LUNG_Classification
