case,method,task,threshold,roi_rows,hit_at_thr005,first_hit_rank_thr005,max_precision,mean_precision,max_precision_ge_thr005,mean_precision_ge_thr005,agg_precision,agg_recall,agg_iou,roi_source,correct,has_matching_correct
test_110,CPathAgent,CAMELYON16_detection,0.05,7,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_113,CPathAgent,CAMELYON16_detection,0.05,15,True,1.0,1.0,0.21984666666666666,1.0,0.65954,0.1427,0.1607,0.0817,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_116,CPathAgent,CAMELYON16_detection,0.05,6,True,1.0,0.0758,0.0273,0.0758,0.06985,0.0252,0.1788,0.0226,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_117,CPathAgent,CAMELYON16_detection,0.05,9,False,,0.0031,0.0003444444444444444,,,0.0006,1.0,0.0006,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_121,CPathAgent,CAMELYON16_detection,0.05,7,False,,0.0238,0.006742857142857143,,,0.0097,0.2113,0.0094,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_122,CPathAgent,CAMELYON16_detection,0.05,10,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/CPathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_001,PathAgent,CAMELYON16_detection,0.05,29,True,20.0,0.4862,0.0185448275862069,0.4862,0.4862,0.0185,0.0204,0.0098,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_002,PathAgent,CAMELYON16_detection,0.05,32,True,27.0,0.9432,0.029475,0.9432,0.9432,0.0589,0.0003,0.0003,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_004,PathAgent,CAMELYON16_detection,0.05,34,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_008,PathAgent,CAMELYON16_detection,0.05,68,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_010,PathAgent,CAMELYON16_detection,0.05,28,False,,0.006,0.00033214285714285713,,,0.0003,0.0482,0.0003,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_011,PathAgent,CAMELYON16_detection,0.05,60,True,16.0,0.0852,0.00142,0.0852,0.0852,0.0029,0.0852,0.0028,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_013,PathAgent,CAMELYON16_detection,0.05,7,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_016,PathAgent,CAMELYON16_detection,0.05,40,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_021,PathAgent,CAMELYON16_detection,0.05,29,True,7.0,1.0,0.2674689655172414,1.0,0.4827,0.268,0.0328,0.0301,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_026,PathAgent,CAMELYON16_detection,0.05,39,True,10.0,1.0,0.046474358974358976,1.0,0.5906333333333333,0.0465,0.1082,0.0336,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_027,PathAgent,CAMELYON16_detection,0.05,25,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_029,PathAgent,CAMELYON16_detection,0.05,8,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_030,PathAgent,CAMELYON16_detection,0.05,16,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_033,PathAgent,CAMELYON16_detection,0.05,83,False,,0.0366,0.0006373493975903615,,,0.0006,0.0371,0.0006,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_038,PathAgent,CAMELYON16_detection,0.05,11,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,,False
test_040,PathAgent,CAMELYON16_detection,0.05,36,True,33.0,0.051,0.0014166666666666666,0.051,0.051,0.0025,0.0025,0.0013,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_046,PathAgent,CAMELYON16_detection,0.05,9,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_048,PathAgent,CAMELYON16_detection,0.05,38,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_051,PathAgent,CAMELYON16_detection,0.05,22,True,9.0,0.9394,0.05432272727272727,0.9394,0.58885,0.1108,0.1251,0.0624,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_052,PathAgent,CAMELYON16_detection,0.05,17,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_061,PathAgent,CAMELYON16_detection,0.05,27,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_064,PathAgent,CAMELYON16_detection,0.05,4,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_065,PathAgent,CAMELYON16_detection,0.05,20,True,1.0,0.0534,0.00267,0.0534,0.0534,0.0067,0.2094,0.0065,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_066,PathAgent,CAMELYON16_detection,0.05,42,True,12.0,0.1428,0.009333333333333334,0.1428,0.098,0.0093,0.0059,0.0036,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_068,PathAgent,CAMELYON16_detection,0.05,64,True,3.0,0.8287,0.018890624999999998,0.8287,0.3975333333333333,0.026,0.0687,0.0192,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_069,PathAgent,CAMELYON16_detection,0.05,97,True,54.0,1.0,0.040521649484536085,1.0,0.98265,0.0406,0.0594,0.0247,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_071,PathAgent,CAMELYON16_detection,0.05,96,True,37.0,0.439,0.011128125,0.439,0.259925,0.0189,0.0151,0.0085,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_073,PathAgent,CAMELYON16_detection,0.05,32,True,21.0,1.0,0.056184374999999995,1.0,0.5931333333333333,0.0562,0.0161,0.0127,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_074,PathAgent,CAMELYON16_detection,0.05,24,False,,0.0146,0.0006083333333333333,,,0.0006,0.0382,0.0006,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_075,PathAgent,CAMELYON16_detection,0.05,18,True,3.0,1.0,0.3333333333333333,1.0,1.0,0.3333,0.0846,0.0724,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_079,PathAgent,CAMELYON16_detection,0.05,23,True,6.0,0.9904,0.047865217391304345,0.9904,0.5499499999999999,0.0479,0.0487,0.0247,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_082,PathAgent,CAMELYON16_detection,0.05,24,True,15.0,1.0,0.08333333333333333,1.0,1.0,0.0833,0.0248,0.0195,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_084,PathAgent,CAMELYON16_detection,0.05,28,True,4.0,0.079,0.004982142857142858,0.079,0.06975,0.01,0.2182,0.0096,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_090,PathAgent,CAMELYON16_detection,0.05,35,True,5.0,0.4535,0.03358285714285714,0.4535,0.18761666666666665,0.0336,0.0103,0.008,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_092,PathAgent,CAMELYON16_detection,0.05,47,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_094,PathAgent,CAMELYON16_detection,0.05,28,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_097,PathAgent,CAMELYON16_detection,0.05,23,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_099,PathAgent,CAMELYON16_detection,0.05,34,False,,0.0,0.0,,,0.0,0.0,0.0,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_102,PathAgent,CAMELYON16_detection,0.05,76,True,34.0,0.5795,0.007625,0.5795,0.5795,0.0152,0.0896,0.0132,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_104,PathAgent,CAMELYON16_detection,0.05,22,True,17.0,0.5098,0.023172727272727275,0.5098,0.5098,0.0232,0.0182,0.0103,/work/Agent_benchmark/PathAgent/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
